order_id,date_case,country,area,location,type,activity,species
6285.0,2018.04.28,COSTA RICA,Cocos Island,Manuelita,Unprovoked,Scuba diving,tiger shark
6284.0,2018.04.28,AUSTRALIA,Western Australia,Gearys Beach,Unprovoked,Surfing,
6283.0,2018.04.25,AUSTRALIA,New South Wales,Lennox Head,Questionable,Surfing,questionable
6282.0,2018.04.25,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Unprovoked,Surfing,3 m shark
6281.0,2018.04.24,AUSTRALIA,Western Australia,"South Point, Gracetown",Unprovoked,Surfing,"white shark, 3.5 m"
6280.0,2018.04.23,MALDIVES,Alifu Alifu Atoll,Madoogali,Unprovoked,Fishing,tiger shark
6279.0,2018.04.22,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Unprovoked,Paddle-skiing,"white shark, 2.5 m"
6278.0,2018.04.19,USA,Hawaii,"Shipwreck’s Beach, Keoneloa Bay, Kauai",Unprovoked,Body boarding,6' shark
6277.0,2018.04.15,THAILAND,Hua Hin,Sai Noi Beach,Unprovoked,Swimming,juvenile bull shark
6276.0,2018.04.15,BRAZIL,Pernambuco,Piedade,Unprovoked,Swimming,
6275.0,2018.04.15,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Unprovoked,Surfing,
6274.0,2018.04.15,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Unprovoked,Surfing,
6273.0,2018.04.14,BAHAMAS,New Providence,Nirvana Beach,Unprovoked,Surfing,tiger shark
6272.0,2018.04.10,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Invalid,Fishing,not valid
6271.0,2018.04.09,NEW CALEDONIA,,"Magenta Beach, Noumea",Unprovoked,Windsurfing,2 m shark
6270.0,2018.04.05,BAHAMAS,,Bimini,Unprovoked,Swimming,bull shark
6269.0,2018.04.03,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Unprovoked,Surfing,white shark
6268.0,2018.03.31,USA,Hawaii,Kukio Beach,Unprovoked,Stand-Up Paddleboarding,"tiger shark, 12'"
6267.0,2018.03.14,AUSTRALIA,Western Australia,Waterman's Bay,Unprovoked,Wading,wobbegong shark
6266.0,2018.03.09,AUSTRALIA,Victoria,Lorne,Unprovoked,Swimming,3.5 m shark
6265.0,2018.03.09,AUSTRALIA,Victoria,Winkipop,Unprovoked,Surfing,1.8 m shark
6264.0,2018.02.24,SOUTH AFRICA,KwaZulu-Natal,Durban,Unprovoked,Scuba Diving,blacktip shark
6263.0,2018.02.23,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Unprovoked,Swimming,"juvenile white shark,  2.7 to 3.2 m"
6262.0,2018.02.17,AUSTRALIA,Victoria,Westernport Bay,Provoked,Kayak fishing for sharks,
6261.0,2018.02.15,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Unprovoked,Walking,"bull shark, 2 m"
6260.0,2018.02.14,AUSTRALIA,Queensland,Mooloolaba Beach,Invalid,Swimming,possibly a wobbegong
6259.0,2018.02.11,BRAZIL,"Boi Island, Victoria",Espirito Santo,Invalid,Cleaning fish,"injury believed caused by an eel, not a shark"
6258.0,2018.02.03,ECUADOR,Galapagos Islands,Santa Fe Island,Unprovoked,Snorkeling,galapagos shark?
6257.0,2018.02.01,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Invalid,Spearfishing,2m shark
6256.0,2018.01.28,AUSTRALIA,Western Australia,Cone Bay,Unprovoked,,bull shark
6255.0,2018.01.21,NEW CALEDONIA,,Nouville,Unprovoked,Spearfishing,"bull shark, 3 m"
6254.0,2018.01.14,AUSTRALIA,Queensland,Lizard Island,Unprovoked,Diving,grey reef shark. 2 m
6253.0,2018.01.13,AUSTRALIA,New South Wales,Martin Islet,Unprovoked,Free diving,"white shark, 3.5 m"
6252.0,2018.01.12,BRAZIL,Fernando de Noronha,Conceicao Beach,Unprovoked,Surfing,small shark
6251.0,2018.01.05,AUSTRALIA,Western Australia,"South Point, Gracetown",Unprovoked,Surfing,wobbegong shark?
6250.0,2017.12.31,USA,Hawaii,"Hultin's Beach, Oahu",Unprovoked,Surfing,tiger shark
6249.0,2017.12.30,USA,California,"Drakes Estero, Point Reyes, Marin County",Unprovoked,Surfing,
6248.0,2017.12.21,MALAYSIA,Sepang,Bagan Lalang Beach,Provoked,Fishing / Wading,juvenile nurse shark
6247.0,2017.12.09,BAHAMAS,,,Unprovoked,Snorkeling,nurse shark. 5'
6246.0,2017.11.30,COSTA RICA,Cocos Island,Manuelita,Unprovoked,Scuba Diving,"tiger shark, female"
6245.0,2017.11.30,COSTA RICA,Cocos Island,Manuelita,Unprovoked,Scuba diving,"tiger shark, female"
6244.0,2017.11.25,LIBYA,, Gars Garabulli,Sea Disaster,2 boats capsized,some drowned but other may have been killed by blue sharks
6243.0,2017.11.24,USA,California,"Stillwater Cove, Monterey County",Unprovoked,Spearfishing,"white shark, 4.6 m"
6242.0,2017.11.18,USA,Florida,"Floridana Beach, Brevard County",Unprovoked,Surfing,
6241.0,2017.11.13,,,,Unprovoked,Surfing,
6240.0,2017.11.13,AUSTRALIA,New South Wales,Avoca Beach,Unprovoked,Surfing,2 m shark
6239.0,2017.11.04,CUBA,Holquin Province,Guardalavaca Beach,Unprovoked,Night bathing,tiger shark
6238.0,2017.10.31,AUSTRALIA,Queensland,Magnetic Island,Unprovoked,Snorkeling,cookiecutter shark
6237.0,2017.10.28,AUSTRALIA,New South Wales,Birubi Point,Unprovoked,Surfing,"wobbegong shark, 1 m"
6236.0,2017.10.26,USA,Hawaii,"White Plains Beach, Oahu",Unprovoked,Stand-Up Paddleboarding,
6235.0,2017.10.23,MAURITIUS,Pamplemousses ,Le Goulet,Unprovoked,Swimming,
6234.0,2017.10.23,USA,Florida,"Juno Beach, Palm Beach County",Unprovoked,Surfing ,
6233.0,2017.10.23,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unprovoked,Swimming,
6232.0,2017.10.22,AUSTRALIA,South Australia,Normanville,Unprovoked,Kayaking / Fishing,"white shark, 4.5 m"
6231.0,2017.10.21,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Unprovoked,Kayaking,2 m shark
6230.0,2017.10.18,USA,Florida,"Lantana Beach, Palm Beach County",Unprovoked,Swimming,"spinner shark, 4 to 5 feet"
6229.0,2017.10.09,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Unprovoked,Surfing,"tiger shark, 8 to 10 feet"
6228.0,2017.10.05,USA,Hawaii,"Kama‘ole Beach Park, Maui ",Unprovoked,Snorkeling,8' shark
6227.0,2017.10.01,SOUTH AFRICA,Western Cape Province,Dyer Island,Invalid,Scuba Diving,death may have been due to drowning
6226.0,2017.09.25,USA,Florida,"Hanna Park, Jacksonville, Duval County",Unprovoked,Surfing,5' shark
6225.0,2017.09.25,AUSTRALIA,Western Australia,Gracetown,Unprovoked,Surfing,"white shark, 3.5 m"
6224.0,2017.09.24,USA,New York,Rockaway,Invalid,Surfing,questionable
6223.0,2017.09.24,USA,Florida,Fort Worth,Unprovoked,Surfing,4' to 5' shark
6222.0,2017.09.20,USA,Florida,Palm Beach County,Unprovoked,Surfing,
6221.0,2017.09.16,SPAIN,Canary Islands,Gran Canaria ,Unprovoked,Body surfing,"porbeagle, 1.5 m"
6220.0,2017.09.16,USA,Florida,"Ponce Inlet, Volusia County",Unprovoked,Surfing,
6219.0,2017.09.15,SOUTH AFRICA,Western Cape Province,Hawston,Invalid,Scuba Diving,
6218.0,2017.09.15,SAMOA, Upolu Island,Nofoali’i,,Fishing,
6217.0,2017.09.14,AUSTRALIA,Westerm Australia,Esperance,Boating,Fishing,"white shark, 3.5m"
6216.0,2017.09.13,USA,Florida,"Ponce Inlet, Volusia County",Unprovoked,Surfing,5' to 6' shark
6215.0,2017.09.10,AUSTRALIA,Westerm Australia,Sam's Creek area,Unprovoked,Swimming,
6214.0,2017.09.10,AUSTRALIA,New South Wales,Iluka Beach,Unprovoked,Surfing,"white shark, 3 to 3.5m"
6213.0,2017.09.06,SOLOMON ISLANDS,,Owarigi Island,Unprovoked,Spearfishing,
6212.0,2017.09.03,SOUTH AFRICA,Western Cape Province,Dyer Island,Unprovoked,"Swimming, poaching abalone",
6211.0,2017.09.03,JAPAN,Shizuoka Prefecture,Iwata City,Unprovoked,Surfing,
6210.0,2017.09.02,USA,Florida,"Marathon, Monroe County",Unprovoked,Swimming,nurse shark
6209.0,2017.09.02,USA,Texas,"South Padre Island, Cameron County",Unprovoked,Swimming,
6208.0,2017.09.02,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6207.0,2017.08.29,AUSTRALIA,Victoria,Cathedral Rock,Unprovoked,Surfing,"white shark, 3 m"
6206.0,2017.08.27,USA,Florida,Bathtub Beach ,Unprovoked,Wading,
6205.0,2017.08.26,SPAIN,Castellón,Grao de Moncofa,Invalid,Swimming,shark involvement questionable
6204.0,2017.08.26,NEW ZEALAND,North Island,Off Tutukaka,Unprovoked,Canoeing,
6203.0,2017.08.23,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",Unprovoked,SUP,"white shark, 5' to 7'"
6202.0,2017.08.18,BAHAMAS,,,Unprovoked,Spearfishing,5' shark
6201.0,2017.08.10,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Unprovoked,Swimming,possibly a juvenile blacktip shark
6200.0,2017.08.05,EGYPT,Red Sea Protectorate,Marsa Ghalib,Unprovoked,Snorkeling,"oceanic whitetip shark, 1.8 to 2 m"
6199.0,2017.08.03,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Provoked,Fishing,4' shark
6198.0,2017.08.01,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Boating,Kayaking / Fishing,"white shark, 10'"
6197.0,2017.07.31,USA,Florida,"Jacksonvlle, Duval County",Unprovoked,Skimboarding,
6196.0,2017.07.29,USA,South Carolina,"Hilton Head Island, Beaufort County",Invalid,Swimming,a small shark
6195.0,2017.07.29,USA,South Carolina,"DeBordieu Colony, Georgetown County",Unprovoked,,
6194.0,2017.07.27,BAHAMAS,New Providence District,Rose Island,Unprovoked,Snorkeling,
6193.0,2017.07.26,BAHAMAS,40 miles off Grand Bahama Island,,Unprovoked,Spearfishing,
6192.0,2017.07.24,"ST HELENA, British overseas territory",Ascension Island,English Bay,Unprovoked,Surfing,
6191.0,2017.07.23,USA,New Jersey,Ventnor,Unprovoked,,sandtiger shark  2'
6190.0,2017.07.23,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Unprovoked,Swimming,blue shark 6'
6189.0,2017.07.22,USA,Florida,"Snipes Point, Monroe County",Unprovoked,,"""a small shark"""
6188.0,2017.07.20,USA,South Carolina,"Hilton Head Island, Beaufort County",Invalid,Swimming,not valid
6187.0,2017.07.20,USA,California,"Stearns Wharf, Santa Barbara",Boating,Kayaking,"white shark, 11' to 13'"
6186.0,2017.07.20,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",Unprovoked,SUP,"white shark, 8' to 10'"
6185.0,2017.07.14,USA,Washington,"South Beach, Westport, Grays Harbor County",Unprovoked,Surfing,"white shark, 9'"
6184.0,2017.07.14,AUSTRALIA,Western Australia,Floreat Beach,Unprovoked,Surfing,
6183.0,2017.07.11,USA,California,"Santa Cruz, Santa Cruz County",Boating,Kayaking,white shark
6182.0,2017.07.09,USA,Florida,"Haulover Beach, Miami-Dade County",Unprovoked,Swimming,"bull shark, 4' to 5'"
6181.0,2017.07.07,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Provoked,Fishing,"tiger shark, 100 kg"
6180.0,2017.07.07,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Unprovoked,Surfing,"white shark, 2.5 m"
6179.0,2017.07.02,COMOROS,Anjouan,Moya,Invalid,Fishing,not valid
6178.0,2017.06.29,USA,South Carolina,Wrightsville Beach,Invalid,Fishing,no shark invovlement
6177.0,2017.06.21,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Unprovoked,Swimming,
6176.0,2017.06.19,USA,Florida,"Singer Island, Palm Beach County",Unprovoked,Surfing,
6175.0,2017.06.18,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Unprovoked,Swimming,"bull shark, 4' to 5'"
6174.0,2017.06.18,REUNION,,Roches Noire,Unprovoked,Body boarding,"bull shark, 2m"
6173.0,2017.06.17,SPAIN,Ibiza Island,Playa d’en Bossa,Unprovoked,Swimming,
6172.0,2017.06.05,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Unprovoked,Surfing,
6171.0,2017.06.14,BAHAMAS,,,Unprovoked,Feeding sharks,
6170.0,2017.06.11,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Unprovoked,Body boarding,"white shark, 4 m"
6169.0,2017.06.10,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Unprovoked,Surfing,seven-gill shark
6168.0,2017.06.10,USA,Florida,"Ponce Inlet, Volusia County",Unprovoked,Surfing,
6167.0,2017.06.07,UNITED KINGDOM,South Devon,Bantham Beach,Unprovoked,Surfing ,"3m shark, probably a smooth hound"
6166.0,2017.06.04,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Unprovoked,Spearfishing,8' shark
6165.0,2017.06.02,BAHAMAS,New Providence ,Athol Island,Unprovoked,Snorkeling,tiger shark
6164.0,2017.05.30,USA,South Carolina,"Awendaw, Charleston County",Provoked,Touching a shark,3' shark
6163.0,2017.05.28,USA,Florida,Off Jupiter,Unprovoked,Feeding sharks,tiger shark
6162.0,2017.05.27,AUSTRALIA,New South Wales,Evans Head,Invalid,Fishing ,
6161.0,2017.05.12,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Unprovoked,Spearfishing,
6160.0,2017.05.06,AUSTRALIA,Queensland,Weipa,Provoked,Attempting to lasso a shark,9' shark
6159.0,2017.05.06,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Unprovoked,Snorkeling,
6158.0,2017.05.03,USA,California,"Sunset Beach, Orange County",Invalid,Surfing,shark involvement highly doubtful
6157.0,2017.04.29,USA,California,"San Onofre, San Diego County ",Unprovoked,Swimming,
6156.0,2017.04.29,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Unprovoked,Surfing,
6155.0,2017.04.29,USA,South Carolina,"Folly Beach, Charleston County",Unprovoked,Surfing,
6154.0,2017.04.29,REUNION,Saint-Leu,Pointe au Sal,Unprovoked,Body boarding,
6153.0,2017.04.27,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Unprovoked,Body boarding,
6152.0,2017.04.26,USA,Florida,,Invalid,Photo shoot,no shark invovlement - it ws a publicity stunt
6151.0,2017.04.22,"ST HELENA, British overseas territory",Ascension Island,English Bay,Unprovoked,Snorkeling,
6150.0,2017.04.20,USA,South Carolina,Georgetown County,Invalid,Swimming,not valid
6149.0,2017.04.17,USA,Florida,"Daytona Beach, Volusia County",Unprovoked,,
6148.0,2017.04.17,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Unprovoked,Surfing,white shark
6147.0,2017.04.14,USA,Hawaii,"Kekaha Beach, Kauai",Unprovoked,Surfing,"tiger shark, 12'"
6146.0,2017.04.13,USA,Florida,"Hanna Park, Jacksonville, Duval County",Unprovoked,Surfing,
6145.0,2017.04.12,USA,Florida,St. Augustine,Unprovoked,Surfing,
6144.0,2017.04.12,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Invalid,Scuba Diving,not valid
6143.0,2017.04.11,USA,Florida,"Ormond Beach, Volusia County",Unprovoked,Surfing,
6142.0,2017.04.10,USA,Florida,"Melbourne Beach, Brevard County",Unprovoked,Paddle boarding,
6141.0,2017.04.10,USA,Florida,"Melbourne Beach, Brevard County",Unprovoked,Swimming,
6140.0,2017.04.06,USA,Florida,"Daytona, Volusia County",Unprovoked,Swimming,
6139.0,2017.04.05,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Swimming,
6138.0,2017.04.02,AUSTRALIA,Queensland,Moreton Bay,Unprovoked,Kakaying,
6137.0,2017.04.02,USA,Florida,"Destin, Okaloosa County",Unprovoked,Swimming,"bull shark, 5' to 7'"
6136.0,2017.03.27,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6135.0,2017.03.19,AUSTRALIA,New South Wales,The Farm,Unprovoked,Body boarding,
6134.0,2017.03.18,USA,California,Monterey Bay,Boating,Kayaking,white shark
6133.0,2017.03.11,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Unprovoked,Spearfishing,10' shark
6132.0,2017.03.09,BAHAMAS,Great Exuma,,Unprovoked,Washing hands,lemon shark
6131.0,2017.02.25,AUSTRALIA,Western Australia,Mauds Point,Unprovoked,Snorkeling,"bull shark, 1.5"
6130.0,2017.02.24,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Unprovoked,Surfing,
6129.0,2017.02.21,REUNION,Saint-Andre,,Unprovoked,Body boarding,
6128.0,2017.02.17,AUSTRALIA,Queensland,Eva Rock,Unprovoked,Spearfishing,
6127.0,2017.02.11,USA,Florida,"Melbourne Beach, Brevard County",Unprovoked,Swimming,
6126.0,2017.02.06,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Provoked,Grabbing shark for a selfie,lemon shark pup
6125.0,2017.02.06,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Boating,Kayak fishing,tiger shark
6124.0,2017.02.01,USA,South Carolina,16 miles off Hilton Head,Boating,Tagging sharks,"white shark, female, 14'"
6123.0,2017.02.01,BAHAMAS,Bimini,,Unprovoked,Scuba Diving,caribbean reef shark
6122.0,2017.01.24,BRAZIL,Pernambuco,"Boa Viagem, Recife",Unprovoked,Swimming,
6121.0,2017.01.22,USA,Florida,"Vero Beach, Indian River County",Unprovoked,,
6120.0,2017.01.21,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Unprovoked,Scuba Diving,"bull shark, 4 m"
6119.0,2017.01.13,AUSTRALIA,Queensland,Clairview,Unprovoked,Swimming,
6118.0,2017.01.13,USA,Florida,Jensen Beach,Unprovoked,,
6117.0,2017.01.09,INDONESIA,Bali,Balian Beach,Unprovoked,Surfing,"bull shark, 1 m"
6115.0,2017.01.05,USA,Florida,"Blockhouse Beach, Brevard County",Unprovoked,Wading,
6114.0,2017.01.03,AUSTRALIA,New South Wales,Merimbula,Invalid,Wading,not valid
6113.0,2016.12.27,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Unprovoked,Surfing,
6112.0,2016.12.24,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Unprovoked,Snorkeling,a small shark
6111.0,2016.12.19,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Unprovoked,Surf skiing ,"white shark, 4 m"
6110.0,2016.12.14,AUSTRALIA,Western Australia,Trigg Beach,Unprovoked,Free diving,
6109.0,2016.12.11,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Unprovoked,Fishing,
6108.0,2016.12.11,USA,Florida,"New Smyrna Beach, Volusia County",Invalid,Surfing,not valid
6107.0,2016.12.06,AUSTRALIA,New South Wales,Merimbula,Provoked,Surf fishing,"wobbegong shark, 2m"
6106.0,2016.12.01,AUSTRALIA,New South Wales,Booti Booti National Park,Unprovoked,Surfing,white shark
6105.0,2016.11.28,AUSTRALIA,Victoria,Queenscliff,Provoked,Fishing,"broadnose sevengill shark, 1.5 m"
6104.0,2016.11.14,USA,Hawaii,"Kamaole Beach Park I, Maui",Unprovoked,Floating,tiger shark
6103.0,2016.10.30,USA,Florida,"Mayport Naval Station Beach, Duval County",Unprovoked,Surfing,
6102.0,2016.10.29,USA,Florida,Mayport Naval Station  Duval County,Unprovoked,Surfing,
6101.0,2016.10.24,AUSTRALIA,New South Wales,Broken Head Beach,Unprovoked,Surfing,
6100.0,2016.10.21,USA,Hawaii,"Hooipa Beach Park, Maui",Unprovoked,Surfing,6' to 8' shark
6099.0,2016.10.15,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Unprovoked,Surfing,
6098.0,2016.10.14,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Unprovoked,Snorkeling,
6097.0,2016.10.13,MEXICO,,Guadalupe Island,Invalid,Cage Diving,white shark
6096.0,2016.10.12,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Unprovoked,Surfing,
6095.0,2016.10.10,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Unprovoked,Surfing,
6094.0,2016.10.02,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6093.0,2016.10.01,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfng,
6092.0,2016.09.26,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Unprovoked,Surfing,"white shark, 3.5 m"
6091.0,2016.09.18,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6090.0,2016.09.18,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6089.0,2016.09.18,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6088.0,2016.09.17,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Unprovoked,Surfing,
6087.0,2016.09.17,AUSTRALIA,Victoria,Thirteenth Beach,Unprovoked,Surfing,
6086.0,2016.09.15,AUSTRALIA,Victoria,Bells Beach,Unprovoked,Surfing,2 m shark
6085.0,2016.09.15,AUSTRALIA,Western Australia,Bunbury,Boating,Fishing,
6084.0,2016.09.11,USA,Florida,"Ponte Vedra, St. Johns County",Unprovoked,Wading,3' to 4' shark
6083.0,2016.09.07,USA,Hawaii,"Makaha, Oahu",Unprovoked,Swimming,"tiger shark, 10'"
6082.0,2016.09.06,NEW CALEDONIA,North Province,Koumac,Unprovoked,Kite surfing,
6081.0,2016.09.05,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Unprovoked,Boogie boarding,
6080.0,2016.09.05,AUSTRALIA,Western Australia,Injidup ,Unprovoked,Surfing,
6079.0,2016.09.04,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Body boarding,
6078.0,2016.09.01,USA,California,"Refugio State Beach, Santa Barbara County",Unprovoked,Spearfishing,"white shark, 8' to 10'"
6077.0,2016.09.00,MEXICO,,Guadalupe Island,Invalid,Cage Diving,invalid
6076.0,2016.08.29,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,"bull shark, 6'"
6075.0,2016.08.29,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6074.0,2016.08.27,REUNION,,Boucan Canot,Unprovoked,Surfing,"bull shark, 3.5 m"
6073.0,2016.08.25,USA,Florida,"Ponte Vedra, St. Johns County",Unprovoked,Wading,
6072.0,2016.08.07,BAHAMAS,New Providence Island,Nassau,Unprovoked,Snorkeling,
6071.0,2016.08.06,USA,Hawaii,Maui,Unprovoked,SUP Foil boarding,"tiger shark, 10'"
6070.0,2016.08.04,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,blacktip shark
6069.0,2016.07.29,SPAIN,Alicante Province,Arenales del Sol,Unprovoked,Swimming,blue shark
6068.0,2016.07.28,CHINA,Hong Kong,,Unprovoked,Swimming,
6067.0,2016.07.28,AUSTRALIA,Western Australia,Near Albany,Boating,Kayaking,white shark
6066.0,2016.07.27,USA,Florida,"Florida Keys, Monroe County",Provoked,Lobstering,"nurse shark, 4'"
6065.0,2016.07.26,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Unprovoked,Surfing,
6064.0,2016.07.24,JAPAN,Kochi Prefecture,Irino Beach,Unprovoked,Surfing,
6063.0,2016.07.23,AUSTRALIA,Tasmania,Clifton Beach,Unprovoked,Surfing,
6062.0,2016.07.23,BAHAMAS,Abaco Islands,Green Turtle Cay,Unprovoked,Spearfishing,"bull shark, 6'"
6061.0,2016.07.20,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Provoked,Fishing,"reef shark, 1m"
6060.0,2016.07.17,USA,Alabama,8 miles off Mobile,Boating,Fishing in Alabama Deep Fishing Rodeo,"tiger shark, 10'"
6059.0,2016.07.16,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,Surfing,
6058.0,2016.07.16,USA,Florida,"New Smyrna Beach, Volusia County",Unprovoked,,
6057.0,2016.07.15,USA,California,"Surfside, Orange County",Unprovoked,Kite surfing,"white shark, 10' to 12'"
6056.0,2016.07.15,USA,South Carolina,"North Myrtle Beach, Horry County",Unprovoked,Swimming,
6055.0,2016.07.14,BAHAMAS,,Tiger Beach,Unprovoked,Scuba Diving,"lemon shark, 9'"
6054.0,2016.07.08,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Unprovoked,Wading,angel shark
6053.0,2016.07.08,USA,California,"Capitola, Santa Cruz County",Boating,Fishing for squid,white shark
6052.0,2016.07.07,USA,Massachusetts,"Off Gloucester, Essec County",Provoked,Fishing,dogfish shark
6051.0,2016.07.07,USA,California,"Off Palos Verdes peninsula, Los Angeles County",Boating,Fishing for sharks,white shark
6050.0,2016.07.06,USA,Florida,"Melbourne Beach, Brevard County",Unprovoked,Swimming,
6049.0,2016.07.04,AUSTRALIA,Queensland,Palm Cove ,Provoked,Fishing,tawny nurse shark
6048.0,2016.06.27,USA,South Carolina,Sullivan's Island,Unprovoked,,3' to 4' shark
6047.0,2016.06.25,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Unprovoked,Surfing,
6046.0,2016.06.24,COLUMBIA,Isla Provedencia,,Unprovoked,Scuba Diving,"caribbean reef shark, 4.5'"
6045.0,2016.06.23,SOUTH AFRICA,Western Cape Province,Ryspunt,Unprovoked,Spearfishing,white shark
